FECHA PRECIP  EVAP   TMAX   TMIN
29/01/1991  0     Nulo    5     -3 
30/01/1991  0     Nulo    5     -3 
31/01/1991  0     Nulo    4     -3 
01/02/1991  0     Nulo    5     -2 
02/02/1991  0     Nulo    6     -3 
03/02/1991  0     Nulo    6     -2 
04/02/1991  0     Nulo    5     -2 
05/02/1991  0     Nulo    5     -3 
06/02/1991  0     Nulo    6     -2 
07/02/1991  0     Nulo    6     -2 
08/02/1991  0     Nulo    6     -2 
09/02/1991  4     Nulo    6     -3 
10/02/1991  4     Nulo    6     -2 
11/02/1991  0     Nulo    6     -2 
12/02/1991  0     Nulo    7     -2 
13/02/1991  0     Nulo    7     -2 
14/02/1991  0     Nulo    7     -2 
15/02/1991  0     Nulo    7     -2 
16/02/1991  0     Nulo    7     -2 
17/02/1991  0     Nulo    7     -2 
18/02/1991  0     Nulo    8     -1 
19/02/1991  0     Nulo    6     -2 
20/02/1991  2     Nulo    6     -2 
21/02/1991  0     Nulo    7     -1 
22/02/1991  0     Nulo    6     -2 
23/02/1991  0     Nulo    6     -2 
24/02/1991  0     Nulo    7     -2 
25/02/1991  0     Nulo    7     -1 
26/02/1991  0     Nulo    8     -2 
27/02/1991  0     Nulo    8     -1 
28/02/1991  0.5   Nulo    7     -1 
01/03/1991  0     Nulo    6     -1 
02/03/1991  0     Nulo    6     -1 
03/03/1991  0     Nulo    6     -1 
04/03/1991  0     Nulo    8     -1 
05/03/1991  0     Nulo    7      0 
06/03/1991  0     Nulo    6      0 
07/03/1991  0     Nulo    8     -2 
08/03/1991  0     Nulo    8      0 
09/03/1991  0     Nulo    9      0 
10/03/1991  0     Nulo    12     2 
11/03/1991  0     Nulo    12     2 
12/03/1991  0     Nulo    9      4 
13/03/1991  0     Nulo    15     1 
14/03/1991  0     Nulo    12     6 
15/03/1991  0     Nulo    12     4 
16/03/1991  0     Nulo    8      3 
17/03/1991  0     Nulo    16     0 
18/03/1991  0.2   Nulo    18     8 
19/03/1991  0.1   Nulo    16     10 
20/03/1991  0     Nulo    12     8 
21/03/1991  0     Nulo    9      1 
22/03/1991  0     Nulo    9      1 
23/03/1991  0     Nulo    9      1 
24/03/1991  0     Nulo    12     1 
25/03/1991  0     Nulo    18     3 
26/03/1991  0     Nulo    17     8 
27/03/1991  0     Nulo    12     8 
28/03/1991  0     Nulo    7      3 
29/03/1991  0     Nulo    5     -5 
30/03/1991  0     Nulo    8     -4 
31/03/1991  0     Nulo    17     0 
01/04/1991  0     Nulo    8      1 
02/04/1991  0     Nulo    10     0 
03/04/1991  0     Nulo    11     0 
04/04/1991  0     Nulo    12     3 
05/04/1991  0     Nulo    12     3 
06/04/1991  0     Nulo    14     4 
07/04/1991  0     Nulo    12     4 
08/04/1991  0     Nulo    11     4 
09/04/1991  0     Nulo    12     3 
10/04/1991  0     Nulo    12     4 
11/04/1991  0     Nulo    12     4 
12/04/1991  0     Nulo    12     4 
13/04/1991  0     Nulo    12     4 
